分类名称,销售日期,正价,品相折扣,清仓,总销量,正价占比,品相折扣占比,清仓占比
水生根茎类,2020-12-27,93.232,,,93.232,1.0,,
水生根茎类,2020-12-28,55.486000000000004,3.612,4.164,63.26200000000001,0.8770826088331067,0.057095886946350094,0.06582150422054313
水生根茎类,2020-12-29,51.913,,3.011,54.924,0.9451787925132911,,0.05482120748670891
水生根茎类,2020-12-30,74.772,,0.97,75.742,0.9871933669562463,,0.012806633043753795
水生根茎类,2020-12-31,72.72,,0.585,73.30499999999999,0.9920196439533457,,0.00798035604665439
水生根茎类,2021-01-01,91.569,,,91.569,1.0,,
水生根茎类,2021-01-02,95.19,,7.024,102.214,0.9312814291584323,,0.0687185708415677
水生根茎类,2021-01-03,71.854,,4.651,76.505,0.9392065878047187,,0.06079341219528136
水生根茎类,2021-01-04,68.248,,,68.248,1.0,,
水生根茎类,2021-01-05,89.144,,,89.144,1.0,,
水生根茎类,2021-01-06,49.852,,,49.852,1.0,,
水生根茎类,2021-01-07,54.723,,,54.723,1.0,,
水生根茎类,2021-01-08,53.903999999999996,,,53.903999999999996,1.0,,
水生根茎类,2021-01-09,90.49,,,90.49,1.0,,
水生根茎类,2021-01-10,79.563,,,79.563,1.0,,
水生根茎类,2021-01-11,47.911,,,47.911,1.0,,
水生根茎类,2021-01-12,55.595,,,55.595,1.0,,
水生根茎类,2021-01-13,40.616,,,40.616,1.0,,
水生根茎类,2021-01-14,43.51,,,43.51,1.0,,
水生根茎类,2021-01-15,51.428,,,51.428,1.0,,
水生根茎类,2021-01-16,82.624,,,82.624,1.0,,
水生根茎类,2021-01-17,67.482,,,67.482,1.0,,
水生根茎类,2021-01-18,48.095,,,48.095,1.0,,
水生根茎类,2021-01-19,42.265,,,42.265,1.0,,
水生根茎类,2021-01-20,44.546,,,44.546,1.0,,
水生根茎类,2021-01-21,48.089,,,48.089,1.0,,
水生根茎类,2021-01-22,48.728,,,48.728,1.0,,
水生根茎类,2021-01-23,66.893,,,66.893,1.0,,
水生根茎类,2021-01-24,88.664,,,88.664,1.0,,
水生根茎类,2021-01-25,86.892,,,86.892,1.0,,
水生根茎类,2021-01-26,59.222,,,59.222,1.0,,
水生根茎类,2021-01-27,50.075,,,50.075,1.0,,
水生根茎类,2021-01-28,58.18,,,58.18,1.0,,
水生根茎类,2021-01-29,48.372,,,48.372,1.0,,
水生根茎类,2021-01-30,39.938,,,39.938,1.0,,
水生根茎类,2021-01-31,47.573,,,47.573,1.0,,
水生根茎类,2021-02-01,50.34,,,50.34,1.0,,
水生根茎类,2021-02-02,47.323,,,47.323,1.0,,
水生根茎类,2021-02-03,36.091,,,36.091,1.0,,
水生根茎类,2021-02-04,61.4,,,61.4,1.0,,
水生根茎类,2021-02-05,56.39,,,56.39,1.0,,
水生根茎类,2021-02-06,55.472,,,55.472,1.0,,
水生根茎类,2021-02-07,101.527,,,101.527,1.0,,
水生根茎类,2021-02-08,124.55,,,124.55,1.0,,
水生根茎类,2021-02-09,211.431,,,211.431,1.0,,
水生根茎类,2021-02-10,296.79200000000003,,,296.79200000000003,1.0,,
水生根茎类,2021-02-13,50.0,,,50.0,1.0,,
水生根茎类,2021-02-14,34.891,28.601,1.581,65.073,0.5361824412582792,0.4395217678607103,0.02429579088101056
水生根茎类,2021-02-15,68.394,,,68.394,1.0,,
水生根茎类,2021-02-16,67.819,,,67.819,1.0,,
水生根茎类,2021-02-17,53.632,,,53.632,1.0,,
水生根茎类,2021-02-18,62.327,,,62.327,1.0,,
水生根茎类,2021-02-19,53.631,,19.413,73.044,0.734228684080828,,0.265771315919172
水生根茎类,2021-02-20,60.612,,,60.612,1.0,,
水生根茎类,2021-02-21,38.554,,,38.554,1.0,,
水生根茎类,2021-02-22,40.444,,,40.444,1.0,,
水生根茎类,2021-02-23,44.084,,,44.084,1.0,,
水生根茎类,2021-02-24,54.382,,,54.382,1.0,,
水生根茎类,2021-02-25,74.027,,,74.027,1.0,,
水生根茎类,2021-02-26,72.508,,,72.508,1.0,,
水生根茎类,2021-02-27,45.651,,,45.651,1.0,,
水生根茎类,2021-02-28,49.705,,,49.705,1.0,,
水生根茎类,2021-03-01,29.048,,,29.048,1.0,,
水生根茎类,2021-03-02,46.406,,,46.406,1.0,,
水生根茎类,2021-03-03,20.757,,,20.757,1.0,,
水生根茎类,2021-03-04,28.177,,,28.177,1.0,,
水生根茎类,2021-03-05,35.138,,,35.138,1.0,,
水生根茎类,2021-03-06,61.735,,,61.735,1.0,,
水生根茎类,2021-03-07,36.889,,,36.889,1.0,,
水生根茎类,2021-03-08,26.921,,,26.921,1.0,,
水生根茎类,2021-03-09,42.608,,,42.608,1.0,,
水生根茎类,2021-03-10,24.891000000000002,,,24.891000000000002,1.0,,
水生根茎类,2021-03-11,31.801,,,31.801,1.0,,
水生根茎类,2021-03-12,21.764,,,21.764,1.0,,
水生根茎类,2021-03-13,47.086,,,47.086,1.0,,
水生根茎类,2021-03-14,30.295,,,30.295,1.0,,
水生根茎类,2021-03-15,22.597,,,22.597,1.0,,
水生根茎类,2021-03-16,19.772,,,19.772,1.0,,
水生根茎类,2021-03-17,19.493,,,19.493,1.0,,
水生根茎类,2021-03-18,20.852,,,20.852,1.0,,
水生根茎类,2021-03-19,39.292,,,39.292,1.0,,
水生根茎类,2021-03-20,39.984,,,39.984,1.0,,
水生根茎类,2021-03-21,41.705,,,41.705,1.0,,
水生根茎类,2021-03-22,10.113,,,10.113,1.0,,
水生根茎类,2021-03-23,13.349,,,13.349,1.0,,
水生根茎类,2021-03-24,14.013,,,14.013,1.0,,
水生根茎类,2021-03-25,15.827,,,15.827,1.0,,
水生根茎类,2021-03-26,40.178,,,40.178,1.0,,
水生根茎类,2021-03-27,43.191,,,43.191,1.0,,
水生根茎类,2021-03-28,30.71,,,30.71,1.0,,
水生根茎类,2021-03-29,15.5,,,15.5,1.0,,
水生根茎类,2021-03-30,14.905,,,14.905,1.0,,
水生根茎类,2021-03-31,19.503,,,19.503,1.0,,
水生根茎类,2021-04-01,20.743,,,20.743,1.0,,
水生根茎类,2021-04-02,37.764,,,37.764,1.0,,
水生根茎类,2021-04-03,38.786,,,38.786,1.0,,
水生根茎类,2021-04-04,33.95,,,33.95,1.0,,
水生根茎类,2021-04-05,24.241,,,24.241,1.0,,
水生根茎类,2021-04-06,3.622,,,3.622,1.0,,
水生根茎类,2021-04-07,17.735,,,17.735,1.0,,
水生根茎类,2021-04-08,9.582,,,9.582,1.0,,
水生根茎类,2021-04-09,24.627,4.287,0.79,29.703999999999997,0.829080258551037,0.14432399676811206,0.026595744680851068
水生根茎类,2021-04-10,22.753,,,22.753,1.0,,
水生根茎类,2021-04-11,22.196,,,22.196,1.0,,
水生根茎类,2021-04-12,4.178,,,4.178,1.0,,
水生根茎类,2021-04-13,5.553,,,5.553,1.0,,
水生根茎类,2021-04-14,19.197,,,19.197,1.0,,
水生根茎类,2021-04-15,17.098,,,17.098,1.0,,
水生根茎类,2021-04-16,19.018,,,19.018,1.0,,
水生根茎类,2021-04-17,35.302,,,35.302,1.0,,
水生根茎类,2021-04-18,22.237,,,22.237,1.0,,
水生根茎类,2021-04-19,12.658,,,12.658,1.0,,
水生根茎类,2021-04-20,12.167,,,12.167,1.0,,
水生根茎类,2021-04-21,13.078,,,13.078,1.0,,
水生根茎类,2021-04-22,11.64,,,11.64,1.0,,
水生根茎类,2021-04-23,10.413,,,10.413,1.0,,
水生根茎类,2021-04-24,17.178,,,17.178,1.0,,
水生根茎类,2021-04-25,11.454,,,11.454,1.0,,
水生根茎类,2021-04-26,11.871,,,11.871,1.0,,
水生根茎类,2021-04-27,9.127,,,9.127,1.0,,
水生根茎类,2021-04-28,7.359,,,7.359,1.0,,
水生根茎类,2021-04-29,8.818,,,8.818,1.0,,
水生根茎类,2021-04-30,14.856,,,14.856,1.0,,
水生根茎类,2021-05-01,18.075,,,18.075,1.0,,
水生根茎类,2021-05-02,17.439,,,17.439,1.0,,
水生根茎类,2021-05-03,18.743000000000002,,,18.743000000000002,1.0,,
水生根茎类,2021-05-04,8.799,,,8.799,1.0,,
水生根茎类,2021-05-05,15.352,,,15.352,1.0,,
水生根茎类,2021-05-06,5.992,,,5.992,1.0,,
水生根茎类,2021-05-07,6.436,,,6.436,1.0,,
水生根茎类,2021-05-08,11.457,,,11.457,1.0,,
水生根茎类,2021-05-09,21.145,,,21.145,1.0,,
水生根茎类,2021-05-10,8.06,,,8.06,1.0,,
水生根茎类,2021-05-11,8.963000000000001,,,8.963000000000001,1.0,,
水生根茎类,2021-05-12,6.081,,,6.081,1.0,,
水生根茎类,2021-05-13,14.949,,,14.949,1.0,,
水生根茎类,2021-05-14,11.411999999999999,,,11.411999999999999,1.0,,
水生根茎类,2021-05-15,12.399000000000001,,,12.399000000000001,1.0,,
水生根茎类,2021-05-16,6.386,,,6.386,1.0,,
水生根茎类,2021-05-17,5.011,,,5.011,1.0,,
水生根茎类,2021-05-18,12.309000000000001,,,12.309000000000001,1.0,,
水生根茎类,2021-05-19,12.199,,,12.199,1.0,,
水生根茎类,2021-05-20,9.406,,,9.406,1.0,,
水生根茎类,2021-05-21,4.178,,,4.178,1.0,,
水生根茎类,2021-05-22,9.18,,,9.18,1.0,,
水生根茎类,2021-05-23,17.229,,,17.229,1.0,,
水生根茎类,2021-05-24,4.28,,,4.28,1.0,,
水生根茎类,2021-05-25,5.412,,,5.412,1.0,,
水生根茎类,2021-05-26,4.008,,,4.008,1.0,,
水生根茎类,2021-05-27,8.319,,,8.319,1.0,,
水生根茎类,2021-05-28,6.205,,,6.205,1.0,,
水生根茎类,2021-05-29,9.57,,,9.57,1.0,,
水生根茎类,2021-05-30,4.719,,,4.719,1.0,,
水生根茎类,2021-05-31,5.404,,,5.404,1.0,,
水生根茎类,2021-06-01,7.217,,,7.217,1.0,,
水生根茎类,2021-06-02,8.681,,,8.681,1.0,,
水生根茎类,2021-06-03,11.019,,,11.019,1.0,,
水生根茎类,2021-06-04,13.461,,,13.461,1.0,,
水生根茎类,2021-06-05,19.495,,,19.495,1.0,,
水生根茎类,2021-06-06,7.182,,,7.182,1.0,,
水生根茎类,2021-06-07,8.757,,,8.757,1.0,,
水生根茎类,2021-06-08,7.394,,,7.394,1.0,,
水生根茎类,2021-06-09,7.943,,,7.943,1.0,,
水生根茎类,2021-06-10,10.34,,,10.34,1.0,,
水生根茎类,2021-06-11,6.744,,,6.744,1.0,,
水生根茎类,2021-06-12,22.347,,,22.347,1.0,,
水生根茎类,2021-06-13,11.431000000000001,,,11.431000000000001,1.0,,
水生根茎类,2021-06-14,14.049,,,14.049,1.0,,
水生根茎类,2021-06-15,9.998,,,9.998,1.0,,
水生根茎类,2021-06-16,5.187,,,5.187,1.0,,
水生根茎类,2021-06-17,9.409,,,9.409,1.0,,
水生根茎类,2021-06-18,7.902,,,7.902,1.0,,
水生根茎类,2021-06-19,10.313,,,10.313,1.0,,
水生根茎类,2021-06-20,10.001,,,10.001,1.0,,
水生根茎类,2021-06-21,9.9,,,9.9,1.0,,
水生根茎类,2021-06-22,13.91,,,13.91,1.0,,
水生根茎类,2021-06-23,10.931000000000001,,,10.931000000000001,1.0,,
水生根茎类,2021-06-24,6.119,,,6.119,1.0,,
水生根茎类,2021-06-25,10.916,,,10.916,1.0,,
水生根茎类,2021-06-26,20.953,,,20.953,1.0,,
水生根茎类,2021-06-27,19.982,,,19.982,1.0,,
水生根茎类,2021-06-28,9.933,,,9.933,1.0,,
水生根茎类,2021-06-29,9.52,,,9.52,1.0,,
水生根茎类,2021-06-30,7.464,,,7.464,1.0,,
水生根茎类,2021-07-01,8.512,,,8.512,1.0,,
水生根茎类,2021-07-02,10.79,,,10.79,1.0,,
水生根茎类,2021-07-03,29.657,,,29.657,1.0,,
水生根茎类,2021-07-04,24.214,,,24.214,1.0,,
水生根茎类,2021-07-05,14.947,,,14.947,1.0,,
水生根茎类,2021-07-06,7.861,,,7.861,1.0,,
水生根茎类,2021-07-07,8.404,,,8.404,1.0,,
水生根茎类,2021-07-08,12.209,,,12.209,1.0,,
水生根茎类,2021-07-09,4.507,,,4.507,1.0,,
水生根茎类,2021-07-10,14.838,,,14.838,1.0,,
水生根茎类,2021-07-11,14.099,,,14.099,1.0,,
水生根茎类,2021-07-12,7.559,,,7.559,1.0,,
水生根茎类,2021-07-13,7.123,,,7.123,1.0,,
水生根茎类,2021-07-14,13.082,,1.1,14.182,0.9224368918347201,,0.07756310816527993
水生根茎类,2021-07-15,5.78,,,5.78,1.0,,
水生根茎类,2021-07-16,15.712,7.436,0.488,23.636,0.6647486884413607,0.3146048400744627,0.02064647148417668
水生根茎类,2021-07-17,14.606,12.509,,27.115000000000002,0.5386686335976396,0.4613313664023603,
水生根茎类,2021-07-18,17.119,10.419,2.6,30.138,0.5680204393124958,0.3457097352179972,0.08626982546950693
水生根茎类,2021-07-19,7.413,7.9719999999999995,0.369,15.754,0.470547162625365,0.506030214548686,0.023422622825948966
水生根茎类,2021-07-20,7.694,4.317,0.501,12.511999999999999,0.6149296675191817,0.3450287723785167,0.040041560102301796
